Name,2020 Population,code,region_code,province_code,municipality_code,barangay_code
Ab-abut,462,1.0,10,102,10,1.0
Abucay,1635,2.0,10,102,10,2.0
Anao ,1234,3.0,10,102,10,3.0
Arua-ay,382,4.0,10,102,10,4.0
Bimmanga,307,5.0,10,102,10,5.0
Boyboy,1665,6.0,10,102,10,6.0
Cabaroan ,960,7.0,10,102,10,7.0
Calambeg,1331,8.0,10,102,10,8.0
Callusa,682,9.0,10,102,10,9.0
Dupitac,765,0.0,10,102,10,0.0
Estancia,1825,1.0,10,102,10,1.0
Gayamat,644,2.0,10,102,10,2.0
Lagandit,657,3.0,10,102,10,3.0
Libnaoan,688,4.0,10,102,10,4.0
Loing ,1575,5.0,10,102,10,5.0
Maab-abaca,497,6.0,10,102,10,6.0
Mangitayag,671,7.0,10,102,10,7.0
Maruaya,907,8.0,10,102,10,8.0
San Antonio,706,9.0,10,102,10,9.0
Santa Maria,1510,0.0,10,102,10,0.0
Sucsuquen,689,1.0,10,102,10,1.0
Tangaoan,1119,2.0,10,102,10,2.0
Tonoton,1564,3.0,10,102,10,3.0
Aglipay,653,1.0,10,102,10,1.0
Apatut-Lubong,391,2.0,10,102,10,2.0
Badio,1398,3.0,10,102,10,3.0
Barbar,738,4.0,10,102,10,4.0
Buanga,457,5.0,10,102,10,5.0
Bulbulala,509,6.0,10,102,10,6.0
Bungro,391,7.0,10,102,10,7.0
Cabaroan,509,8.0,10,102,10,8.0
Capangdanan,760,9.0,10,102,10,9.0
Dalayap,621,0.0,10,102,10,0.0
Darat,1081,1.0,10,102,10,1.0
Gulpeng,384,2.0,10,102,10,2.0
Liliputen,546,3.0,10,102,10,3.0
Lumbaan-Bicbica,751,4.0,10,102,10,4.0
Nagtrigoan,748,5.0,10,102,10,5.0
Pagdilao ,1142,6.0,10,102,10,6.0
Pugaoan,608,7.0,10,102,10,7.0
Puritac,574,8.0,10,102,10,8.0
Sacritan,1243,9.0,10,102,10,9.0
Salanap,488,0.0,10,102,10,0.0
Santo Tomas,722,1.0,10,102,10,1.0
Tartarabang,1001,2.0,10,102,10,2.0
Puzol,256,3.0,10,102,10,3.0
Upon,586,4.0,10,102,10,4.0
Valbuena ,1069,5.0,10,102,10,5.0
San Francisco ,1783,1.0,10,102,10,1.0
San Ildefonso ,1743,2.0,10,102,10,2.0
San Agustin,2475,3.0,10,102,10,3.0
San Baltazar ,804,4.0,10,102,10,4.0
San Bartolome ,834,5.0,10,102,10,5.0
San Cayetano ,847,6.0,10,102,10,6.0
San Eugenio ,1021,7.0,10,102,10,7.0
San Fernando ,1131,8.0,10,102,10,8.0
San Gregorio ,1987,9.0,10,102,10,9.0
San Guillermo,1678,0.0,10,102,10,0.0
San Jose ,1452,1.0,10,102,10,1.0
San Juan Bautista ,2940,2.0,10,102,10,2.0
San Lorenzo,2359,3.0,10,102,10,3.0
San Lucas ,1280,4.0,10,102,10,4.0
San Marcos,3006,5.0,10,102,10,5.0
San Miguel ,1699,6.0,10,102,10,6.0
San Pablo,1769,7.0,10,102,10,7.0
San Paulo ,945,8.0,10,102,10,8.0
San Pedro,1969,9.0,10,102,10,9.0
San Rufino ,1145,0.0,10,102,10,0.0
San Silvestre ,857,1.0,10,102,10,1.0
Santa Asuncion,923,2.0,10,102,10,2.0
Santa Cecilia,2043,3.0,10,102,10,3.0
Santa Monica,2205,4.0,10,102,10,4.0
San Agustin ,565,1.0,10,102,10,1.0
San Andres,1503,2.0,10,102,10,2.0
San Antonio,1194,3.0,10,102,10,3.0
San Bernabe,237,4.0,10,102,10,4.0
San Cristobal,1668,5.0,10,102,10,5.0
San Felipe,1113,6.0,10,102,10,6.0
San Francisco ,969,7.0,10,102,10,7.0
San Isidro,1103,8.0,10,102,10,8.0
San Joaquin ,1433,9.0,10,102,10,9.0
San Jose,1598,0.0,10,102,10,0.0
San Juan,772,1.0,10,102,10,1.0
San Leandro ,1268,2.0,10,102,10,2.0
San Lorenzo,930,4.0,10,102,10,4.0
San Manuel,878,5.0,10,102,10,5.0
San Marcos,1403,6.0,10,102,10,6.0
San Nicolas,1747,7.0,10,102,10,7.0
San Pedro,933,8.0,10,102,10,8.0
San Roque,898,9.0,10,102,10,9.0
San Vicente ,933,0.0,10,102,10,0.0
Santa Barbara ,569,1.0,10,102,10,1.0
Santa Magdalena,807,2.0,10,102,10,2.0
Santa Rosa,973,3.0,10,102,10,3.0
Santo Santiago,775,4.0,10,102,10,4.0
Santo Tomas,917,5.0,10,102,10,5.0
Aguitap,904,1.0,10,102,10,1.0
Bagbag,671,2.0,10,102,10,2.0
Bagbago,1172,3.0,10,102,10,3.0
Barcelona,1405,4.0,10,102,10,4.0
Bubuos,842,5.0,10,102,10,5.0
Capurictan,1154,6.0,10,102,10,6.0
Catangraran,1399,7.0,10,102,10,7.0
Darasdas,1480,8.0,10,102,10,8.0
Juan ,2402,9.0,10,102,10,9.0
Laureta ,1449,0.0,10,102,10,0.0
Lipay,354,1.0,10,102,10,1.0
Maananteng,1294,2.0,10,102,10,2.0
Manalpac,2130,3.0,10,102,10,3.0
Mariquet,1263,4.0,10,102,10,4.0
Nagpatpatan,710,5.0,10,102,10,5.0
Nalasin,735,6.0,10,102,10,6.0
Puttao,1301,7.0,10,102,10,7.0
San Juan,564,8.0,10,102,10,8.0
San Julian,279,9.0,10,102,10,9.0
Santa Ana,1283,0.0,10,102,10,0.0
Santiago,964,1.0,10,102,10,1.0
Talugtog,1096,2.0,10,102,10,2.0
Abkir,1276,1.0,10,102,10,1.0
Alsem,560,3.0,10,102,10,3.0
Bago,394,5.0,10,102,10,5.0
Bulbulala,1331,0.0,10,102,10,0.0
Cabangaran,612,1.0,10,102,10,1.0
Cabayo,559,2.0,10,102,10,2.0
Cabisocolan,795,3.0,10,102,10,3.0
Canaam,795,4.0,10,102,10,4.0
Columbia,821,5.0,10,102,10,5.0
Dagupan,619,6.0,10,102,10,6.0
Pedro F. Alviar,923,7.0,10,102,10,7.0
Dipilat,1211,9.0,10,102,10,9.0
Esperanza,389,2.0,10,102,10,2.0
Ester,1551,3.0,10,102,10,3.0
Isic Isic,1788,4.0,10,102,10,4.0
Lubnac,1889,7.0,10,102,10,7.0
Mabanbanag,676,8.0,10,102,10,8.0
Alejo Malasig,1230,0.0,10,102,10,0.0
Manarang,667,1.0,10,102,10,1.0
Margaay,813,3.0,10,102,10,3.0
Namoroc,832,5.0,10,102,10,5.0
Malampa,780,8.0,10,102,10,8.0
Parparoroc,1365,9.0,10,102,10,9.0
Parut,1433,0.0,10,102,10,0.0
Salsalamagui,1181,7.0,10,102,10,7.0
San Jose,839,9.0,10,102,10,9.0
San Nicolas ,1126,0.0,10,102,10,0.0
San Pedro ,901,1.0,10,102,10,1.0
San Ramon ,1375,2.0,10,102,10,2.0
San Roque ,1069,3.0,10,102,10,3.0
Santa Maria ,1036,4.0,10,102,10,4.0
Tamdagan,1351,6.0,10,102,10,6.0
