population,name,code,region_code,province_code,municipality_code
847,San Cayetano ,6,10,102,10
1021,San Eugenio ,7,10,102,10
1131,San Fernando ,8,10,102,10
1987,San Gregorio ,9,10,102,10
1678,San Guillermo,10,10,102,10
1452,San Jose ,11,10,102,10
2940,San Juan Bautista ,12,10,102,10
2359,San Lorenzo,13,10,102,10
1280,San Lucas ,14,10,102,10
3006,San Marcos,15,10,102,10
1699,San Miguel ,16,10,102,10
1769,San Pablo,17,10,102,10
945,San Paulo ,18,10,102,10
1969,San Pedro,19,10,102,10
1145,San Rufino ,20,10,102,10
857,San Silvestre ,21,10,102,10
923,Santa Asuncion,22,10,102,10
2043,Santa Cecilia,23,10,102,10
2205,Santa Monica,24,10,102,10
565,San Agustin ,1,10,102,10
1503,San Andres,2,10,102,10
1194,San Antonio,3,10,102,10
237,San Bernabe,4,10,102,10
1668,San Cristobal,5,10,102,10
1113,San Felipe,6,10,102,10
969,San Francisco ,7,10,102,10
1103,San Isidro,8,10,102,10
1433,San Joaquin ,9,10,102,10
1598,San Jose,10,10,102,10
772,San Juan,11,10,102,10
1268,San Leandro ,12,10,102,10
930,San Lorenzo,14,10,102,10
878,San Manuel,15,10,102,10
1403,San Marcos,16,10,102,10
1747,San Nicolas,17,10,102,10
933,San Pedro,18,10,102,10
898,San Roque,19,10,102,10
933,San Vicente ,20,10,102,10
569,Santa Barbara ,21,10,102,10
807,Santa Magdalena,22,10,102,10
973,Santa Rosa,23,10,102,10
775,Santo Santiago,24,10,102,10
917,Santo Tomas,25,10,102,10
904,Aguitap,1,10,102,10
671,Bagbag,2,10,102,10
1172,Bagbago,3,10,102,10
1405,Barcelona,4,10,102,10
842,Bubuos,5,10,102,10
1154,Capurictan,6,10,102,10
1399,Catangraran,7,10,102,10
1480,Darasdas,8,10,102,10
2402,Juan ,9,10,102,10
1449,Laureta ,10,10,102,10
354,Lipay,11,10,102,10
1294,Maananteng,12,10,102,10
2130,Manalpac,13,10,102,10
1263,Mariquet,14,10,102,10
710,Nagpatpatan,15,10,102,10
735,Nalasin,16,10,102,10
1301,Puttao,17,10,102,10
564,San Juan,18,10,102,10
279,San Julian,19,10,102,10
1283,Santa Ana,20,10,102,10
964,Santiago,21,10,102,10
1096,Talugtog,22,10,102,10
1276,Abkir,1,10,102,10
560,Alsem,3,10,102,10
394,Bago,5,10,102,10
1331,Bulbulala,10,10,102,10
612,Cabangaran,11,10,102,10
559,Cabayo,12,10,102,10
795,Cabisocolan,13,10,102,10
795,Canaam,14,10,102,10
821,Columbia,15,10,102,10
619,Dagupan,16,10,102,10
923,Pedro F. Alviar,17,10,102,10
1211,Dipilat,19,10,102,10
389,Esperanza,22,10,102,10
1551,Ester,23,10,102,10
1788,Isic Isic,24,10,102,10
1889,Lubnac,27,10,102,10
676,Mabanbanag,28,10,102,10
1230,Alejo Malasig,30,10,102,10
667,Manarang,31,10,102,10
813,Margaay,33,10,102,10
832,Namoroc,35,10,102,10
780,Malampa,38,10,102,10
1365,Parparoroc,39,10,102,10
1433,Parut,40,10,102,10
1181,Salsalamagui,47,10,102,10
839,San Jose,49,10,102,10
1126,San Nicolas ,50,10,102,10
901,San Pedro ,51,10,102,10
1375,San Ramon ,52,10,102,10
1069,San Roque ,53,10,102,10
1036,Santa Maria ,54,10,102,10
1351,Tamdagan,56,10,102,10
1152,Visaya,58,10,102,10
1684,Alilem Daya ,1,10,102,10
624,Amilongan,2,10,102,10
871,Anaao,3,10,102,10
455,Apang,4,10,102,10
598,Apaya,5,10,102,10
566,Batbato,6,10,102,10
700,Daddaay,10,10,102,10
1421,Dalawa,11,10,102,10
442,Kiat,13,10,102,10
427,Bagbagotot,1,10,102,10
644,Banbanaal,2,10,102,10
196,Bisangol,4,10,102,10
363,Cadanglaan,5,10,102,10
586,Casilagan Norte,6,10,102,10
439,Casilagan Sur,7,10,102,10
618,Elefante,8,10,102,10
446,Guardia,9,10,102,10
1328,Lintic,10,10,102,10
435,Lopez,11,10,102,10
114,Montero,12,10,102,10
1035,Naguimba,13,10,102,10
202,Pila,14,10,102,10
1098,Poblacion,15,10,102,10
764,Aggay,1,10,102,10
1405,An-annam,2,10,102,10
3016,Balaleng,3,10,102,10
451,Banaoang,4,10,102,10
2765,Bulag,5,10,102,10
923,Buquig,6,10,102,10
584,Cabalanggan,7,10,102,10
941,Cabaroan,8,10,102,10
785,Cabusligan,9,10,102,10
1005,Capangdanan,10,10,102,10
1118,Guimod,11,10,102,10
1042,Lingsat,12,10,102,10
1332,Malingeb,13,10,102,10
896,Mira,14,10,102,10
767,Naguiddayan,15,10,102,10
2285,Ora,16,10,102,10
1625,Paing,17,10,102,10
453,Puspus,18,10,102,10
583,Quimmarayan,19,10,102,10
400,Sagneb,20,10,102,10
826,Sagpat,21,10,102,10
358,San Mariano,22,10,102,10
983,San Isidro,23,10,102,10
972,San Julian,24,10,102,10
734,Sinabaan,26,10,102,10
1376,Taguiporo,27,10,102,10
1953,Taleb,28,10,102,10
2595,Tay-ac,29,10,102,10
672,Barangay 1 ,30,10,102,10
508,Barangay 2 ,31,10,102,10
1051,Barangay 3 ,32,10,102,10
795,Barangay 4 ,33,10,102,10
664,Barangay 5 ,34,10,102,10
491,Barangay 6 ,35,10,102,10
468,Ambugat,1,10,102,10
456,Balugang,2,10,102,10
297,Bangbangar,3,10,102,10
453,Bessang,5,10,102,10
552,Cabcaburao,6,10,102,10
360,Cadacad,7,10,102,10
582,Callitong,8,10,102,10
762,Dayanki,9,10,102,10
142,Lesseb,10,10,102,10
473,Lubing,11,10,102,10
483,Lucaban,12,10,102,10
1196,Luna,13,10,102,10
469,Macaoayan,14,10,102,10
618,Mambug,15,10,102,10
653,Manaboc,16,10,102,10
266,Mapanit,17,10,102,10
196,Poblacion Sur,18,10,102,10
413,Nagpanaoan,19,10,102,10
946,Dirdirig,20,10,102,10
717,Paduros,22,10,102,10
294,Patac,23,10,102,10
360,Poblacion Norte,24,10,102,10
346,Sabangan Pinggan,26,10,102,10
442,Subadi Norte,27,10,102,10
161,Subadi Sur,28,10,102,10
688,Taliao,29,10,102,10
852,Alinaay,1,10,102,10
934,Aragan,2,10,102,10
1310,Arnap,3,10,102,10
2446,Baclig ,4,10,102,10
532,Bato,5,10,102,10
1438,Bonifacio ,6,10,102,10
434,Bungro,7,10,102,10
1076,Cacadiran,8,10,102,10
1054,Caellayan,9,10,102,10
641,Carusipan,10,10,102,10
1002,Catucdaan,11,10,102,10
1137,Cuancabal,12,10,102,10
855,Cuantacla,13,10,102,10
2396,Daclapan,14,10,102,10
1549,Dardarat,15,10,102,10
889,Lipit,16,10,102,10
730,Maradodon,17,10,102,10
996,Margaay,18,10,102,10
381,Nagsantaan,19,10,102,10
418,Nagsincaoan,20,10,102,10
2015,Namruangan,21,10,102,10
834,Pila,22,10,102,10
2077,Pug-os,23,10,102,10
2031,Quezon ,24,10,102,10
295,Reppaac,25,10,102,10
1226,Rizal ,26,10,102,10
1419,Sabang,27,10,102,10
1256,Sagayaden,28,10,102,10
1848,Salapasap,29,10,102,10
1675,Salomague,30,10,102,10
709,Sisim,31,10,102,10
1479,Turod,32,10,102,10
950,Turod-Patac,33,10,102,10
1202,Allangigan Primero,1,10,102,10
1170,Allangigan Segundo,2,10,102,10
686,Amguid,3,10,102,10
1123,Ayudante,4,10,102,10
2156,Bagani Camposanto,5,10,102,10
538,Bagani Gabor,6,10,102,10
559,Bagani Tocgo,7,10,102,10
1708,Bagani Ubbog,8,10,102,10
1260,Bagar,9,10,102,10
1667,Balingaoan,10,10,102,10
759,Bugnay,15,10,102,10
2608,Calaoaan,16,10,102,10
2889,Calongbuyan,17,10,102,10
2652,Caterman,18,10,102,10
463,Cubcubboot,19,10,102,10
3327,Darapidap,20,10,102,10
635,Langlangca Primero,22,10,102,10
1226,Langlangca Segundo,23,10,102,10
2041,Oaig-Daya,24,10,102,10
819,Palacapac,25,10,102,10
1471,Paras,26,10,102,10
1383,Parioc Primero,27,10,102,10
1696,Parioc Segundo,28,10,102,10
1200,Patpata Primero,29,10,102,10
1755,Patpata Segundo,30,10,102,10
2386,Paypayad,31,10,102,10
956,Salvador Primero,32,10,102,10
799,Salvador Segundo,33,10,102,10
1875,San Agustin,34,10,102,10
662,San Andres,35,10,102,10
1006,San Antonio ,36,10,102,10
1833,San Isidro ,37,10,102,10
1811,San Jose ,38,10,102,10
731,San Juan ,39,10,102,10
2690,San Nicolas,40,10,102,10
717,San Pedro,41,10,102,10
635,Santo Tomas,42,10,102,10
3562,Tablac,43,10,102,10
1992,Talogtog,44,10,102,10
1392,Tamurong Primero,45,10,102,10
900,Tamurong Segundo,46,10,102,10
492,Villarica,48,10,102,10
958,Anonang Mayor,1,10,102,10
1099,Anonang Menor,2,10,102,10
775,Baggoc,3,10,102,10
942,Callaguip,4,10,102,10
335,Caparacadan,5,10,102,10
2675,Fuerte,6,10,102,10
978,Manangat,7,10,102,10
1238,Naguilian,8,10,102,10
863,Nansuagao,9,10,102,10
1229,Pandan,10,10,102,10
432,Pantay-Quitiquit,11,10,102,10
1155,Don Dimas Querubin ,12,10,102,10
1106,Puro,13,10,102,10
1914,Pantay Tamurong,14,10,102,10
1771,Villamar,15,10,102,10
1163,Don Alejandro Quirolgico ,16,10,102,10
941,Don Lorenzo Querubin ,17,10,102,10
1409,Aluling,1,10,102,10
2333,Comillas North,2,10,102,10
2154,Comillas South,3,10,102,10
2041,Concepcion ,4,10,102,10
739,Dinwede East,5,10,102,10
827,Dinwede West,6,10,102,10
1044,Libang,7,10,102,10
493,Pilipil,10,10,102,10
1141,Remedios,13,10,102,10
2344,Rosario ,14,10,102,10
2148,San Juan,15,10,102,10
918,San Luis,16,10,102,10
1858,Malaya,17,10,102,10
281,Abaya,1,10,102,10
314,Baracbac,2,10,102,10
815,Bidbiday,3,10,102,10
198,Bitong,4,10,102,10
308,Borobor,5,10,102,10
471,Calimugtong,6,10,102,10
530,Calongbuyan,7,10,102,10
265,Calumbaya,8,10,102,10
446,Daldagan,9,10,102,10
215,Kilang,10,10,102,10
338,Legaspi,11,10,102,10
323,Mabayag,12,10,102,10
